compound1,compound2,hydrogen_donor,hydrogen_acceptor,Drug1,molecular_weight (in g/mol) / DA
Gemfibrozil,Fenofibrate,1,5,Lopid,250.34
Bempedoic acid,Fenofibrate,0,3,Nexletol,344.24
Omega-3-acid ethyl esters,Fenofibrate,0,6,Lovaza,200
Niacin,Fenofibrate,1,5,Niaspan,123.11
Acetylcysteine,Guaifenesin,2,6,Mucomyst,163.19
Carbocysteine,Guaifenesin,0,5,Mucodyne,179.22
Guaifenesin,Dextromethorphan,2,7,Mucinex,198.22
Dextromethorphan,Guaifenesin,0,6,Delsym,271.4
Benzonatate,Guaifenesin,0,5,Tessalon Perles,603.7
Phenylephrine,Guaifenesin,1,7,Sudafed,165.23
Pseudoephedrine,Guaifenesin,1,8,Sudafed PE,167.21
Oxymetazoline,Guaifenesin,1,5,Afrin,305.35
Xylometazoline,Guaifenesin,4,4,Otrivin,264.4
Ipratropium,Albuterol,4,3,Atrovent,332.46
Tiotropium,Albuterol,0,6,Spiriva,472.56
Glycopyrrolate,Albuterol,3,3,Seebri,398.46
Aclidinium,Albuterol,0,7,Tudorza,484.98
Umeclidinium,Albuterol,1,2,Incruse,428.98
Indacaterol,Tiotropium,3,5,Arcapta,392.5
Olodaterol,Tiotropium,2,6,Striverdi,386.48
Vilanterol,Tiotropium,1,4,Anoro Ellipta,902.58
Formoterol,Tiotropium,1,5,Symbicort,774.94
Salmeterol,Tiotropium,0,6,Advair,916.1
Fluticasone,Salmeterol,1,1,Flovent,500.6
Budesonide,Salmeterol,2,4,Pulmicort,430.54
Mometasone,Salmeterol,2,5,Asmanex,521.44
Ciclesonide,Salmeterol,2,3,Alvesco,540.69
Beclometasone,Salmeterol,3,4,Qvar,408.9
Triamcinolone,Propylene Glycol,4,5,Azmacort,434.5
Rivaroxaban,Microcrystalline Cellulose,0,5,Rivaroxaban,435.89
"Dabigatran Etexilate Mesylate
",Tartaric Acid,1,2,Dabigatran,627.75
Edoxaban Tosylate Monohydrate,Mannitol,1,4,Edoxaban,548.06
"Betrixaban
","
Hydroxypropyl Methylcellulose
",2,5,Betrixaban,456.38
Albiglutide,Sodium Phosphate,0,6,Albiglutide,67000
Ertugliflozin,Magnesium Stearate,2,1,Ertugliflozin,436.54
Semaglutide,Sodium Chloride,0,3,Semaglutide,4113.58
Liraglutide,"
Disodium Phosphate Dihydrate",1,4,Liraglutide,3751.2
Empagliflozin,Colloidal Silicon Dioxide,1,5,Empagliflozin,450.91
Dulaglutide,Citric Acid Monohydrate,1,4,Dulaglutide,59000
Ticagrelor,Mannitol,1,4,Ticagrelor,522.57
Vorapaxar Sulfate,Microcrystalline Cellulose,1,5,Vorapaxar,492.63
Cangrelor,Sodium Chloride,2,4,Cangrelor,774.73
Sacubitril,Valsartan,1,4,Sacubitril/valsartan,908.04
Ivabradine Hydrochloride,Colloidal Silicon Dioxide,4,4,Ivabradine,468.6
Secukinumab,Sucrose,2,4,Secukinumab,147000
Ustekinumab,L-Histidine,1,5,Ustekinumab,148000
Ixekizumab,Polysorbate 80,0,7,Ixekizumab,146000
Guselkumab,L-Histidine Monohydrochloride,0,1,Guselkumab,149000
Brodalumab,Acetate,1,6,Brodalumab,150000
Evolocumab,Proline,2,4,Evolocumab,143000
Alirocumab,Sucrose,0,3,Alirocumab,146000
Bempedoic Acid,Microcrystalline Cellulose,2,5,Bempedoic acid,344.24
Inclisiran,Sodium Chloride,0,7,Inclisiran,145.18
Lomitapide,Microsomal Triglyceride Transfer Protein Inhibitor,0,5,Lomitapide,693.9
Mipomersen,Antisense Oligonucleotide,1,6,Mipomersen,7596.91
Belatacept,Fusion Protein,1,4,Belatacept,82000
Belimumab,Monoclonal Antibody,1,4,Belimumab,147000
Dupilumab,Monoclonal Antibody,4,4,Dupilumab,147000
Omalizumab,Monoclonal Antibody,4,5,Omalizumab,149000
Mepolizumab,Monoclonal Antibody,0,3,Mepolizumab,149000
Reslizumab,Monoclonal Antibody,3,5,Reslizumab,144000
Benralizumab,Monoclonal Antibody,2,6,Benralizumab,149000
Tezepelumab,Monoclonal Antibody,0,5,Tezepelumab,149000
Aflibercept,Recombinant Protein,1,4,Aflibercept,115000
Ranibizumab,Recombinant Protein,3,5,Ranibizumab,48000
Brolucizumab,Recombinant Protein,2,6,Brolucizumab,26000
Faricimab,Recombinant Protein,1,7,Faricimab,144000
Conbercept,Recombinant Protein,1,5,Conbercept,50000
Apremilast,Phosphodiesterase 4 Inhibitor,0,4,Apremilast,460.51
Tofacitinib,Janus Kinase Inhibitor,1,5,Tofacitinib,312.37
Baricitinib,Janus Kinase Inhibitor,2,6,Baricitinib,371.43
Upadacitinib,Janus Kinase Inhibitor,2,4,Upadacitinib,440.51
Filgotinib,Janus Kinase Inhibitor,2,5,Filgotinib,300.34
Leflunomide,Disease-Modifying Antirheumatic Drug,3,4,Leflunomide,270.2
Tozinameran,mRNA Vaccine,4,5,Tozinameran,100000
Elasomeran,mRNA Vaccine,0,4,Elasomeran,100000
ChAdOx1 nCoV-19,Viral Vector Vaccine,1,5,ChAdOx1 nCoV-19,100000
Ad26.COV2.S,Antiviral Combination,1,4,Ad26.COV2.S,100000
Nirmatrelvir,Antiviral Combination,2,5,Paxlovid,921.9
N-hydroxycytidine,Molnupiravir,0,4,Molnupiravir,329.3
Triphosphate,Remdesivir,2,5,Remdesivir,602.6
Pyrazinecarboxamide,Favipiravir,0,4,Favipiravir,157.1
Monoclonal Antibody,Recombinant Antibody,1,5,Sotrovimab,149000
Monoclonal Antibody,Recombinant Antibody,1,2,Casirivimab/imdevimab,292000
Monoclonal Antibody,Recombinant Antibody,1,4,Bamlanivimab/etesevimab,292000
Janus Kinase Inhibitor,Baricitinib,1,5,Baricitinib,371.43
Interleukin-6 Inhibitor,Tocilizumab,1,4,Tocilizumab,148000
Interleukin-1 Inhibitor,Anakinra,2,3,Anakinra,17300
Interleukin-6 Inhibitor,Sarilumab,1,5,Sarilumab,150000
CCR5 Antagonist,Leronlimab,4,3,Leronlimab,149000
Antiviral Agent,Ivermectin,2,5,Ivermectin,875.1
Antimalarial Agent,Hydroxychloroquine,1,3,Hydroxychloroquine,335.87
Antimalarial Agent,Chloroquine,0,4,Chloroquine,319.87
Antimalarial Agent,Nitazoxanide,0,3,Nitazoxanide,307.28
Nucleoside Analog,Azvudine,1,4,Azvudine,267.27
Antibiotic,Lefamulin,2,4,Lefamulin,586.7
Antibiotic,Omadacycline,0,7,Omadacycline,713.85
Antibiotic,Eravacycline,2,4,Eravacycline,492.55
Antibiotic,Plazomicin,0,12,Plazomicin,908
Antibiotic,Cefiderocol,0,3,Cefiderocol,749.72
Antibiotic,Delafloxacin,1,10,Delafloxacin,440.85
Antibiotic,Solithromycin,1,7,Solithromycin,845.05
Antibiotic,Finafloxacin,1,2,Finafloxacin,370.79
Antibiotic,Zoliflodacin,4,2,Zoliflodacin,438.4
Beta-lactamase Inhibitor,Avibactam,4,1,Ceftazidime/avibactam,986
Beta-lactam Antibiotic,Vaborbactam,0,9,Meropenem/vaborbactam,680.76
Beta-lactam Antibiotic,Relebactam,3,5,Imipenem/relebactam,848.95
Beta-lactam Antibiotic,Zidebactam,2,3,Cefepime/zidebactam,790.78
Beta-lactam Antibiotic,Taniborbactam,0,6,Cefepime/taniborbactam,790.78
Oxazolidinone Antibiotic,Tedizolid,1,5,Tedizolid,450.5
Glycopeptide Antibiotic,Oritavancin,3,6,Oritavancin,1793.64
Glycopeptide Antibiotic,Dalbavancin,2,5,Dalbavancin,1816.71
Glycopeptide Antibiotic,Telavancin,1,7,Telavancin,1755.63
Diarylquinoline Antibiotic,lefamulin,1,6,Lefamulin,586.7
Diarylquinoline Antibiotic,pretomanid,0,5,Pretomanid,359.27
Diarylquinoline Antibiotic,bedaquiline,1,7,Bedaquiline,555.5
Diarylquinoline Antibiotic,Delamanid,2,8,Delamanid,534.5
Oxazolidinone Antibiotic,Sutezolid,2,5,Sutezolid,453.5
Triazole Antifungal,Linezolid,2,4,Linezolid,337.35
Triazole Antifungal,Posaconazole,3,3,Tedizolid,450.5
Triazole Antifungal,Isavuconazonium sulfate,4,6,Posaconazole,700.8
Echinocandin Antifungal,Voriconazole,0,3,Isavuconazonium sulfate,814.79
Azole Antifungal,Echinocandins,1,7,Voriconazole,349.31
Oxaborole Antifungal,Luliconazole,1,2,Echinocandins,50000
Azole Antifungal,Tavaborole,2,5,Luliconazole,354.27
Monoclonal Antibody,Efinaconazole,0,6,Tavaborole,201.05
Monoclonal Antibody,Omalizumab,2,4,Efinaconazole,348.3
Monoclonal Antibody,Dupilumab,0,5,Omalizumab,149000
Monoclonal Antibody,dupilumab,1,6,Dupilumab,147000
Tylenol,Paracetamol,1,1,Acetaminophen,151.16
Zovirax,Acyclovir,1,4,Acyclovir,225.21
"Ventolin, Proventil",Albuterol,1,5,Albuterol,239.31
Zyloprim,Allopurinol,1,3,Allopurinol,136.11
Xanax,Alprazolam,2,4,Alprazolam,308.77
Amikin,Amikacin,1,5,Amikacin,585.6
"Cordarone, Pacerone",Amiodarone,4,5,Amiodarone,645.32
Elavil,Amitriptyline,2,2,Amitriptyline,277.4
Norvasc,Amlodipine,1,4,Amlodipine,408.87
Amoxil,Amoxicillin,0,5,Amoxicillin,365.41
Fungizone,Amphotericin B,0,6,Amphotericin B,924.1
Omnipen,Ampicillin,1,1,Ampicillin,349.41
Kineret,Anakinra,2,3,Anakinra,17300
Tenormin,Atenolol,0,4,Atenolol,266.34
Strattera,Atomoxetine,2,5,Atomoxetine,255.36
Lipitor,Atorvastatin,0,4,Atorvastatin,558.64
Zithromax,Azithromycin,0,4,Azithromycin,748.98
Lioresal,Baclofen,1,5,Baclofen,213.66
Qvar,Beclometasone,1,4,Beclometasone,408.91
Lotensin,Benazepril,1,4,Benazepril,424.5
Casodex,Bicalutamide,4,4,Bicalutamide,430.37
Zebeta,Bisoprolol,4,4,Bisoprolol,325.44
"Pulmicort, Entocort",Budesonide,0,5,Budesonide,430.54
"Wellbutrin, Zyban",Bupropion,3,7,Bupropion,239.74
Myleran,Busulfan,2,1,Busulfan,246.31
Capoten,Captopril,0,6,Captopril,217.29
Tegretol,Carbamazepine,1,4,Carbamazepine,236.27
Coreg,Carvedilol,3,3,Carvedilol,406.48
Ceclor,Cefaclor,2,5,Cefaclor,367.81
Duricef,Cefadroxil,1,7,Cefadroxil,381.37
Ancef,Cefazolin,1,5,Cefazolin,454.5
Omnicef,Cefdinir,0,6,Cefdinir,395.41
Maxipime,Cefepime,1,4,Cefepime,480.5
Suprax,Cefixime,2,4,Cefixime,453.45
Claforan,Cefotaxime,2,4,Cefotaxime,455.5
Cefotan,Cefotetan,2,5,Cefotetan,575.61
Mefoxin,Cefoxitin,3,3,Cefoxitin,427.45
Fortaz,Ceftazidime,4,5,Ceftazidime,636.6
Rocephin,Ceftriaxone,0,6,Ceftriaxone,554.58
Ceftin,Cefuroxime,1,5,Cefuroxime,424.38
Celebrex,Celecoxib,1,4,Celecoxib,381.37
Keflex,Cephalexin,2,5,Cephalexin,347.39
Leukeran,Chlorambucil,0,6,Chlorambucil,304.24
Aralen,Chloroquine,2,7,Chloroquine,319.87
Thorazine,Chlorpromazine,0,5,Chlorpromazine,355.33
Cipro,Ciprofloxacin,1,4,Ciprofloxacin,331.34
Celexa,Citalopram,1,5,Citalopram,324.39
Cleocin,Clindamycin,1,6,Clindamycin,424.98
Anafranil,Clomipramine,1,4,Clomipramine,314.84
Klonopin,Clonazepam,1,5,Clonazepam,315.72
Plavix,Clopidogrel,2,4,Clopidogrel,321.82
Clozaril,Clozapine,1,5,Clozapine,326.83
Flexeril,Cyclobenzaprine,4,4,Cyclobenzaprine,311.87
"Neoral, Sandimmune",Cyclosporine,2,5,Cyclosporine,1202.61
Pradaxa,Dabigatran,1,4,Dabigatran,627.75
Aczone,Dapsone,0,5,Dapsone,248.3
Norpramin,Desipramine,0,4,Desipramine,266.39
Dexilant,Dexlansoprazole,1,5,Dexlansoprazole,369.4
Dexedrine,Dextroamphetamine,2,4,Dextroamphetamine,135.21
Valium,Diazepam,0,5,Diazepam,284.74
Voltaren,Diclofenac,2,2,Diclofenac,296.15
Bentyl,Dicyclomine,0,4,Dicyclomine,309.46
Lanoxin,Digoxin,0,5,Digoxin,780.94
Cardizem,Diltiazem,1,4,Diltiazem,414.53
Benadryl,Diphenhydramine,1,3,Diphenhydramine,255.34
Depakote,Divalproex,1,5,Divalproex,310.4
Dobutrex,Dobutamine,4,3,Dobutamine,301.38
Intropin,Dopamine,4,5,Dopamine,153.18
Cardura,Doxazosin,0,3,Doxazosin,451.48
Vibramycin,Doxycycline,3,4,Doxycycline,444.43
Cymbalta,Duloxetine,2,3,Duloxetine,297.41
Vasotec,Enalapril,0,4,Enalapril,376.45
Lovenox,Enoxaparin,1,4,Enoxaparin,~4500
Erythrocin,Erythromycin,3,7,Erythromycin,733.94
Lexapro,Escitalopram,2,4,Escitalopram,324.39
Nexium,Esomeprazole,1,12,Esomeprazole,345.42
Estrace,Estradiol,1,3,Estradiol,272.39
"Various (e.g., Premarin)",Estrogen,0,10,Estrogen,~272.38
Lunesta,Eszopiclone,1,7,Eszopiclone,388.91
Myambutol,Ethambutol,2,2,Ethambutol,204.31
"Various (e.g., in birth control pills)",Ethinyl estradiol,2,2,Ethinyl estradiol,296.4
Lodine,Etodolac,2,1,Etodolac,287.36
Zetia,Ezetimibe,3,9,Ezetimibe,409.41
Pepcid,Pepcid AC,4,5,Famotidine,337.42
Plendil,Felodipine ER,0,3,Felodipine,384.26
Sublimaze,Actiq,1,6,Fentanyl,336.47
Allegra,Allegra Allergy,1,5,Fexofenadine,501.66
Diflucan,Fluconazole Oral,2,6,Fluconazole,306.27
Ancobon,Flucytosine Injection,0,5,Flucytosine,119.1
Prozac,Prozac Weekly,2,7,Fluoxetine,309.33
Flonase,Flovent,0,6,Fluticasone,500.56
Lasix,Furosemide Oral,1,5,Furosemide,330.74
Neurontin,Gralise,1,7,Gabapentin,171.24
Lopid,Gemfibrozil Oral,1,8,Gemfibrozil,250.35
Garamycin,Gentamicin Injection,1,5,Gentamicin,477.6
Glucotrol,Glucotrol XL,1,4,Glipizide,445.55
DiaBeta,Glyburide Oral,2,3,Glyburide,493.99
Gris-PEG,Griseofulvin Oral,1,6,Griseofulvin,352.77
Haldol,Haloperidol Injection,4,3,Haloperidol,375.86
Hydrodiuril,HCTZ,2,7,Hydrochlorothiazide,297.74
Plaquenil,Hydroxychloroquine Sulfate,1,2,Hydroxychloroquine,335.87
Hydrea,Hydroxyurea Capsules,0,5,Hydroxyurea,76.05
Advil,Motrin,0,6,Ibuprofen,206.28
Gleevec,Imatinib Mesylate,1,4,Imatinib,493.6
Primaxin,Imipenem/Cilastatin,2,5,Imipenem,299.34
Indocin,Indomethacin Extended Release,0,6,Indomethacin,357.79
Remicade,Infliximab Injection,2,1,Infliximab,144190
INH,Isoniazid Oral,0,4,Isoniazid,137.14
Imdur,Isosorbide Mononitrate Extended,0,5,Isosorbide mononitrate,191.14
Accutane,Claravis,1,3,Isotretinoin,300.44
Sporanox,Itraconazole Oral,1,4,Itraconazole,705.64
Nizoral,Ketoconazole Cream,1,5,Ketoconazole,531.44
Toradol,Ketorolac Injection,4,5,Ketorolac,376.41
Lamictal,Lamictal XR,4,2,Lamotrigine,256.09
Prevacid,Prevacid 24HR,0,4,Lansoprazole,369.36
Lupron,Eligard,3,5,Leuprolide,1209.41
Xopenex,Levalbuterol Inhalation Solution,2,6,Levalbuterol,275.37
Keppra,Keppra XR,0,1,Levetiracetam,170.21
Levaquin,Levofloxacin Oral,1,3,Levofloxacin,361.37
Plan B,Mirena,3,4,Levonorgestrel,312.45
Synthroid,Levoxyl,2,5,Levothyroxine,776.87
Xylocaine,Lidoderm,1,4,Lidocaine,234.34
Zyvox,Linezolid Oral,1,4,Linezolid,337.35
Prinivil,Zestril,0,5,Lisinopril,405.49
Lithobid,Lithonate,1,4,Lithium,6.94
Claritin,Loratadine Oral,2,4,Loratadine,382.87
Ativan,Lorazepam Oral,2,4,Lorazepam,321.16
Cozaar,Losartan Potassium,2,4,Losartan,422.91
Mevacor,Altoprev,3,5,Lovastatin,422.56
Opsumit,Macitentan Oral,4,7,Macitentan,588.65
Antivert,Meclizine Oral,0,1,Meclizine,429.94
Depo-Provera,Provera,1,6,Medroxyprogesterone,386.47
Mobic,Meloxicam Oral,1,4,Meloxicam,354.4
Namenda,Memantine Oral,2,3,Memantine,179.23
Demerol,Meperidine Injection,0,5,Meperidine,247.35
Asacol,Lialda,2,7,Mesalamine,153.13
Glucophage,Glucophage XR,0,5,Metformin,309.45
Dolophine,Methadose,1,6,Methadone,114.17
Tapazole,Methimazole Oral,1,4,Methimazole,454.44
Rheumatrex,Trexall,1,4,Methotrexate,374.48
Medrol,Depo-Medrol,1,4,Methylprednisolone,168.5
Reglan,Metoclopramide Oral,1,5,Metoclopramide,267.37
Lopressor,Toprol XL,2,3,Metoprolol,344.41
Flagyl,Metrogel,1,5,Metronidazole,457.48
Minocin,Solodyn,4,6,Minocycline,264.4
Remeron,Mirtazapine Oral,2,5,Mirtazapine,368.5
Cytotec,Misoprostol Oral,1,4,Misoprostol,444.43
Novantrone,Mitoxantrone Injection,0,5,Mitoxantrone,342.4
Provigil,Modafinil Oral,0,6,Modafinil,517.47
Singulair,Montelukast Oral,1,7,Montelukast,273.35
MS Contin,Kadian,2,5,Morphine,770.88
Avelox,Moxifloxacin Oral,0,4,Moxifloxacin,260.3
CellCept,Mycophenolate Mofetil,2,5,Mycophenolate,367.37
Relafen,Nabumetone Oral,0,6,Nabumetone,228.28
Corgard,Nadolol Oral,0,4,Nadolol,230.31
Aleve,Naprosyn,1,5,Naproxen,185.22
Bystolic,Nebivolol Oral,1,4,Nebivolol,606.84
Viracept,Nelfinavir Oral,1,5,Nelfinavir,614.64
Neo-Fradin,Neomycin Oral,4,4,Neomycin,308.75
Viramune,Nevirapine Oral,4,5,Nevirapine,346.27
Adalat,Procardia,0,4,Nifedipine,302.27
Macrobid,Nitrofurantoin Oral,3,5,Nitrofurantoin,255.23
Nitrostat,Nitroglycerin Oral,2,4,Nitroglycerin,238.31
Noroxin,Norfloxacin Oral,0,5,Norfloxacin,303.4
Pamelor,Nortriptyline Oral,1,4,Nortriptyline,215.24
Mycostatin,Nystatin Oral,3,5,Nystatin,923.05
Floxin,Ofloxacin Oral,2,2,Ofloxacin,281.35
Zyprexa,Olanzapine Oral,1,4,Olanzapine,383.36
Benicar,Olmesartan Oral,1,5,Olmesartan,329.82
Prilosec,Omeprazole Oral,0,4,Omeprazole,410.37
Zofran,Ondansetron Oral,1,3,Ondansetron,312.4
Tamiflu,Oseltamivir Oral,2,5,Oseltamivir,285.33
Bactocill,Oxacillin Oral,2,3,Oxacillin,403.45
Ditropan XL,Oxybutynin Oral,2,5,Oxybutynin,372.41
OxyContin,Roxicodone,3,3,Oxycodone,511.56
Opana,Oxymorphone Oral,4,4,Oxymorphone,336.43
Taxol,Paclitaxel Injection,0,3,Paclitaxel,232.27
Invega,Paliperidone Oral,1,4,Paliperidone,502.07
Protonix,Pantoprazole Oral,1,4,Pantoprazole,492.55
Paxil,Paroxetine Oral,2,7,Paroxetine,218.27
Pegasys,Peginterferon Alfa,0,4,Peginterferon,183.18
Penicillin V,Penicillin Oral,2,12,Penicillin,100.12
Trental,Pentoxifylline Oral,0,3,Pentoxifylline,250.33
Coversyl,Perindopril Oral,1,10,Perindopril,197.22
Nix,Permethrin Cream,1,7,Permethrin,356.43
Luminal,Phenobarbital Oral,1,2,Phenobarbital,331.35
Dilantin,Phenytoin Oral,1,2,Phenytoin,274.36
Actos,Pioglitazone Oral,1,1,Pioglitazone,298.4
Feldene,Piroxicam Oral,2,9,Piroxicam,586.59
Selexid,Pivmecillinam Oral,1,5,Pivmecillinam,258.31
Pravachol,Pravastatin Oral,4,3,Pravastatin,228.28
Orapred,Prednisolone Oral,2,6,Prednisolone,159.23
Deltasone,Prednisone Oral,1,5,Prednisone,339.44
Lyrica,Pregabalin Oral,0,6,Pregabalin,228.3
Mysoline,Primidone Oral,0,5,Primidone,314.44
Benemid,Probenecid Oral,1,7,Probenecid,244.3
Compazine,Prochlorperazine Oral,2,6,Prochlorperazine,252.3
Prometrium,Progesterone Oral,0,5,Progesterone,474.58
Phenergan,Promethazine Oral,2,7,Promethazine,84.4
Rythmol,Propafenone Hydrochloride,0,8,Propafenone,341.43
Inderal,Propranolol Hydrochloride,0,5,Propranolol,259.34
Sudafed,Pseudoephedrine HCl,1,4,Pseudoephedrine,165.24
PZA,Pyrazinamide Oral,1,3,Pyrazinamide,123.11
Mestinon,Pyridostigmine Bromide,1,6,Pyridostigmine,181.21
Seroquel,Quetiapine Fumarate,4,3,Quetiapine,383.49
Accupril,Quinapril Hydrochloride,4,7,Quinapril,438.53
Qualaquin,Quinine Sulfate,0,2,Quinine,324.43
Isentress,Raltegravir Oral,3,5,Raltegravir,444.34
Altace,Ramipril Oral,2,6,Ramipril,416.51
Zantac,Ranitidine Hydrochloride,0,4,Ranitidine,314.41
Azilect,Rasagiline Mesylate,1,5,Rasagiline,171.24
Mycobutin,Rifabutin Capsules,3,6,Rifabutin,847.03
Rifadin,Rifampin Oral,2,1,Rifampin,822.94
Rilutek,Riluzole Oral,1,4,Riluzole,234.27
Actonel,Risedronate Sodium,1,5,Risedronate,283.1
Risperdal,Risperidone Oral,0,3,Risperidone,410.49
Norvir,Ritonavir Oral,1,4,Ritonavir,720.94
Exelon,Rivastigmine Oral,2,5,Rivastigmine,250.34
Maxalt,Rizatriptan Oral,2,5,Rizatriptan,269.37
Daliresp,Roflumilast Oral,2,2,Roflumilast,403.37
Requip,Ropinirole Oral,3,4,Ropinirole,260.37
Avandia,Rosiglitazone Oral,4,5,Rosiglitazone,357.43
Crestor,Rosuvastatin Calcium,0,6,Rosuvastatin,481.54
Neupro,Rotigotine Transdermal Patch,1,1,Rotigotine,315.47
Rulid,Roxithromycin Oral,1,3,Roxithromycin,837.05
Serevent,Salmeterol Xinafoate,2,4,Salmeterol,415.56
Onglyza,Saxagliptin Oral,0,5,Saxagliptin,315.37
Cosentyx,Secukinumab Injection,2,4,Secukinumab,149.21
Eldepryl,Selegiline Hydrochloride,0,4,Selegiline,187.24
Viagra,Sildenafil Citrate,1,5,Sildenafil,474.58
Zocor,Simvastatin Oral,1,4,Simvastatin,418.57
Januvia,Sitagliptin Oral,1,4,Sitagliptin,407.32
Baking soda,Sodium Bicarbonate Oral,1,4,Sodium bicarbonate,84.01
Saline,Sodium Chloride Injection,1,4,Sodium chloride,58.44
Citras,Sodium Citrate Oral,2,5,Sodium citrate,258.06
Monobasic Sodium Phosphate,Sodium Phosphate Injection,1,7,Sodium phosphate,119.98
Vesicare,Solifenacin Succinate,4,1,Solifenacin,480.56
Betapace,Sotalol Oral,2,6,Sotalol,272.33
Aldactone,Spironolactone Oral,1,4,Spironolactone,416.58
Zerit,Stavudine Oral,0,3,Stavudine,224.23
Streptomycin Sulfate,Streptomycin Injection,0,5,Streptomycin,581.57
Carafate,Sucralfate Oral,1,7,Sucralfate,398.39
Azulfidine,Sulfasalazine Oral,2,5,Sulfasalazine,253.28
Bactrim,Sulfamethoxazole Oral,0,6,Sulfamethoxazole,250.29
Sulfadiazine,Sulfadiazine Oral,2,4,Sulfadiazine,267.32
Gantrisin,Sulfisoxazole Oral,0,4,Sulfisoxazole,295.4
Imitrex,Sumatriptan Oral,0,4,Sumatriptan,804.02
Prograf,Tacrolimus Oral,1,5,Tacrolimus,389.41
Cialis,Tadalafil Oral,1,3,Tadalafil,372.39
Nolvadex,Tamoxifen Citrate,1,5,Tamoxifen,563.64
Flomax,Tamsulosin Hydrochloride,4,6,Tamsulosin,408.47
Tazocin,Tazobactam Injection,4,5,Tazobactam,300.41
Micardis,Telmisartan Oral,0,4,Telmisartan,300.36
Restoril,Temazepam Oral,3,5,Temazepam,286.4
Viread,Tenofovir Disoproxil Fumarate,2,6,Tenofovir,438.54
Lamisil,Terbinafine Oral,0,7,Terbinafine,402.45
Brethine,Terbutaline Sulfate,1,5,Terbutaline,222.31
Forteo,Teriparatide Injection,3,4,Teriparatide,411.49
Sumycin,Tetracycline Oral,2,5,Tetracycline,261.36
Thalomid,Thalidomide Oral,1,6,Thalidomide,298.34
Theo-Dur,Theophylline Oral,1,4,Theophylline,240.23
Tabloid,Thioguanine Oral,0,5,Thioguanine,272.29
Thiotepa Injection,Thiotepa Capsules,1,4,Thiotepa,358.36
Pentothal,Thiopental Sodium,2,5,Thiopental,250.3
Gabitril,Tiagabine Oral,2,4,Tiagabine,444.39
Brilinta,Ticagrelor Oral,2,5,Ticagrelor,327.29
Ticarcillin Disodium,Ticarcillin Injection,3,4,Ticarcillin,190.28
Tygacil,Tigecycline Injection,4,5,Tigecycline,284.31
Timoptic,Timolol Ophthalmic Solution,0,4,Timolol,220.28
Spiriva,Tiotropium Bromide,1,5,Tiotropium,242.25
Zanaflex,Tizanidine Hydrochloride,1,4,Tizanidine,535.67
Nebcin,Tobramycin Injection,2,5,Tobramycin,352.47
Detrol,Tolterodine Extended Release,0,2,Tolterodine,291.33
Topamax,Topiramate Extended Release,2,4,Topiramate,387.36
Ultram,Tramadol Hydrochloride,0,5,Tramadol,316.27
Cyklokapron,Tranexamic Acid Oral,1,4,Tranexamic acid,253.31
Parnate,Tranylcypromine Sulfate,1,3,Tranylcypromine,370.49
Desyrel,Trazodone Hydrochloride,1,5,Trazodone,259.24
Kenalog,Triamcinolone Acetonide,1,3,Triamcinolone,522.58
Dyrenium,Triamterene Hydrochloride,1,5,Triamterene,501.96
Viroptic,Trifluridine Ophthalmic Solution,2,3,Trifluridine,116.12
TMP,Trimethoprim-Sulfamethoxazole,1,4,Trimethoprim,296.41
Surmontil,Trimipramine Oral,4,3,Trimipramine,387.54
Sanctura,Trospium Chloride,2,4,Trospium,168.19
Valtrex,Valacyclovir Oral,1,4,Valacyclovir,278.39
Valcyte,Valganciclovir Oral,0,7,Valganciclovir,253.31
Depakene,Valproic Acid Oral,0,4,Valproic acid,408.5
Vancocin,Vancomycin Injection,1,12,Vancomycin,105.09
Levitra,Vardenafil Oral,2,3,Vardenafil,290.39
Chantix,Varenicline Oral,0,10,Varenicline,106.12
Zelboraf,Vemurafenib Oral,2,7,Vemurafenib,146.19
Calan,Verapamil SR,0,2,Verapamil,524.56
Viibryd,Vilazodone Oral,0,2,Vilazodone,391.4
Velban,Vinblastine Sulfate,1,1,Vinblastine,228.3
Oncovin,Vincristine Sulfate,1,9,Vincristine,313.87
Navelbine,Vinorelbine Injection,1,5,Vinorelbine,225.32
Vfend,Voriconazole Oral,4,3,Voriconazole,447.5
Coumadin,Warfarin Sodium,4,6,Warfarin,1449.25
Sonata,Zaleplon Oral,0,5,Zaleplon,118.09
Ambien,Zolpidem Tartrate,3,6,Zolpidem,301.39
Zonegran,Zonisamide Oral,2,5,Zonisamide,244.23
Imovane,Zopiclone Oral,0,7,Zopiclone,212.2
Zytiga,Abiraterone Acetate,1,6,Abiraterone,306.8
Campral,Acamprosate Calcium,3,5,Acamprosate,336.4
Zovirax,Acyclovir Sodium,2,7,Acyclovir,226.2
Humira,Adalimumab Injection,1,8,Adalimumab,225.2
Fosamax,Alendronate Sodium,1,5,Alendronate,"1,48,000"
Tekturna,Aliskiren Oral,0,4,Aliskiren,291.1
Xanax,Alprazolam Extended Release,1,3,Alprazolam,295.4
Symmetrel,Amantadine Oral,2,6,Amantadine,308.2
Cordarone,Amiodarone Oral,2,3,Amiodarone,125.2
Elavil,Amitriptyline Hydrochloride,2,7,Amitriptyline,645
Norvasc,Amlodipine Besylate,3,2,Amlodipine,277.4
Amoxil,Amoxicillin Trihydrate,4,5,Amoxicillin,408.9
